Name
Huperzia selago
Lycopodiella inundata
Lycopodium clavatum
Lycopodium annotinum
Lycopodium alpinum
Lycopodium issleri
Lycopodium complanatum
Lycopodium zeilleri
Lycopodium tristachyum
Isoetes lacustris
Isoetes echinospora
Selaginella helvetica
Selaginella kraussiana
Equisetum pratense
Equisetum ×litorale
Equisetum ×dycei
Equisetum ×meridionale
Equisetum ×trachyodon
Equisetum ×moorei
Equisetum scirpoides
Equisetum hyemale
Equisetum hyemale
Equisetum hyemale
Equisetum hyemale
Equisetum ramosissimum
Equisetum variegatum
Equisetum fluviatile
Equisetum palustre
Equisetum sylvaticum
Equisetum arvense
Equisetum telmateia
Ophioglossum vulgatum
Ophioglossum azoricum
Botrychium simplex
Botrychium lunaria
Botrychium matricariifolium
Osmunda regalis
Hymenophyllum tunbrigense
Vandenboschia speciosa
Salvinia natans
Salvinia auriculata
Salvinia molesta
Azolla filiculoides
Azolla cristata
Pilularia globulifera
Pteris cretica
Pteris cretica
Pteris multifida
Pteris vittata
Cryptogramma crispa
Adiantum capillus-veneris
Adiantum raddianum
Adiantum aleuticum
Pteridium aquilinum
Cystopteris fragilis
Gymnocarpium dryopteris
Gymnocarpium robertianum
Asplenium ×murbeckii
Asplenium ×dolosum
Asplenium ceterach
Asplenium scolopendrium
Asplenium septentrionale
Asplenium ruta-muraria
Asplenium adiantum-nigrum
Asplenium onopteris
Asplenium trichomanes
Asplenium trichomanes
Asplenium trichomanes
Asplenium trichomanes
Asplenium trichomanes
Asplenium trichomanes
Asplenium ×alternifolium
Asplenium ×alternifolium
Asplenium ×alternifolium
Asplenium viride
Asplenium fontanum
Asplenium foreziense
Asplenium obovatum
Asplenium obovatum
Matteuccia struthiopteris
Onoclea sensibilis
Blechnum spicant
Anisocampium niponicum
Athyrium filix-femina
Oreopteris limbosperma
Thelypteris palustris
Phegopteris connectilis
Rumohra adiantiformis
Polystichum ×bicknellii
Polystichum acrostichoides
Polystichum munitum
Polystichum polyblepharum
Polystichum tsus-simense
Polystichum lonchitis
Polystichum aculeatum
Polystichum setiferum
Polystichum setiferum
Polystichum setiferum
Cyrtomium falcatum
Cyrtomium fortunei
Dryopteris ×uliginosa
Dryopteris ×deweveri
Dryopteris ×ambroseae
Dryopteris ×complexa
Dryopteris ×complexa
Dryopteris ×complexa
Dryopteris cycadina
Dryopteris erythrosora
Dryopteris affinis
Dryopteris affinis
Dryopteris affinis
Dryopteris affinis
Dryopteris affinis
Dryopteris affinis
Dryopteris filix-mas
Dryopteris carthusiana
Dryopteris dilatata
Dryopteris expansa
Dryopteris expansa
Dryopteris cristata
Polypodium ×mantoniae
Polypodium hesperium
Polypodium cambricum
Polypodium vulgare
Polypodium interjectum
Ginkgo biloba
Ginkgo biloba
Ephedra distachya
Ephedra saxatilis
Ephedra saxatilis
Cedrus libani
Cedrus libani
Cedrus libani
Cedrus deodara
Pinus wallichiana
Pinus sylvestris
Pinus nigra
Pinus nigra
Pinus nigra
Pinus pinaster
Pinus mugo
Pinus rigida
Pinus ponderosa
Pinus strobus
Picea engelmannii
Picea abies
Picea orientalis
Picea sitchensis
Picea omorika
Picea pungens
Pseudotsuga menziesii
Pseudotsuga menziesii
Pseudotsuga menziesii
Larix ×marschlinsii
Larix decidua
Larix kaempferi
Tsuga heterophylla
Tsuga canadensis
Abies alba
Abies concolor
Abies grandis
Abies homolepis
Abies koreana
Abies nordmanniana
Abies procera
Abies veitchii
Araucaria araucana
Cupressus nootkatensis
Cupressus macrocarpa
Cupressus xleylandii
Metasequoia glyptostroboides
Sequoiadendron giganteum
Cryptomeria japonica
Taxodium distichum
Thuja plicata
Thuja occidentalis
Chamaecyparis lawsoniana
Chamaecyparis obtusa
Chamaecyparis pisifera
Juniperus communis
Juniperus communis
Juniperus squamata
Juniperus chinensis
Juniperus ×media
Juniperus sabina
Taxus baccata
Taxus baccata
Taxus recurvata
Taxus canadensis
Taxus cuspidata
Taxus xmedia
Cabomba caroliniana
Cabomba aquatica
Nymphaea alba
Nymphaea alba
Nymphaea alba
Nymphaea alba
Nymphaea alba
Nymphaea ×marliacea

Nuphar lutea
Nuphar pumila
Houttuynia cordata
Saururus cernuus
Asarum europaeum
Aristolochia clematitis
Aristolochia macrophylla
Magnolia kobus
Magnolia kobus
Magnolia kobus
Magnolia ×soulangeana
Magnolia liliiflora
Magnolia denudata
Magnolia grandiflora
Liriodendron tulipifera
Chimonanthus praecox
Calycanthus floridus
Laurus nobilis
Acorus calamus
Lysichiton americanus
Lysichiton camtschatcensis
Pistia stratiotes
Sauromatum venosum
Zantedeschia aethiopica
Zantedeschia albomaculata
Calla palustris
Arum maculatum
Arum italicum
Arum italicum
Arum italicum
Wolffia arrhiza
Wolffia columbiana
Lemna trisulca
Lemna minor
Lemna turionifera
Lemna minuta
Lemna gibba
Spirodela polyrhiza
Landoltia punctata
Sagittaria sagittifolia
Sagittaria latifolia
Sagittaria latifolia
Luronium natans
Damasonium alisma
Alisma gramineum
Alisma plantago-aquatica
Alisma lanceolatum
Baldellia ranunculoides
Baldellia repens
Butomus umbellatus
Egeria densa
Limnobium laevigatum
Hydrocharis morsus-ranae
Elodea callitrichoides
Elodea canadensis
Elodea nuttallii
Lagarosiphon major
Stratiotes aloides
Vallisneria spiralis
Vallisneria australis
Najas major
Najas marina
Najas minor
Scheuchzeria palustris
Aponogeton distachyos
Triglochin palustris
Triglochin maritima
Zostera marina
Zostera marina
Zostera marina
Zostera noltei
Groenlandia densa
Potamogeton ×lintonii
Potamogeton ×salicifolius
Potamogeton ×cadburyae
Potamogeton ×cooperi
Potamogeton ×bennettii
Potamogeton ×sparganiifolius
Potamogeton ×nitens
Potamogeton ×schreberi
Potamogeton compressus
Potamogeton acutifolius
Potamogeton friesii
Potamogeton obtusifolius
Potamogeton trichoides
Potamogeton pusillus
Potamogeton berchtoldii
Potamogeton crispus
Potamogeton perfoliatus
Potamogeton alpinus
Potamogeton praelongus
Potamogeton lucens
Potamogeton gramineus
Potamogeton ×angustifolius
Potamogeton natans
Potamogeton coloratus
Potamogeton polygonifolius
Potamogeton nodosus
Stuckenia pectinata
