,Name,rbcL_accession,rbcL_title,rbcL_length,rbcL_organism,rbcL_geo_loc,rbcL_lat_lon,rbcL_collection_date,rbcL_voucher,matK_accession,matK_title,matK_length,matK_organism,matK_geo_loc,matK_lat_lon,matK_collection_date,matK_voucher,trnL_accession,trnL_title,trnL_length,trnL_organism,trnL_geo_loc,trnL_lat_lon,trnL_collection_date,trnL_voucher,psbA-trnH_accession,psbA-trnH_title,psbA-trnH_length,psbA-trnH_organism,psbA-trnH_geo_loc,psbA-trnH_lat_lon,psbA-trnH_collection_date,psbA-trnH_voucher
0,Huperzia selago,PZ385908.1,"Huperzia selago voucher EDNA21-0061142 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",607,Huperzia selago,"United Kingdom: Scotland, Glenfinnan, Fraoch Bheinn",56.893 N 5.464 W,22-Jun-2021,EDNA21-0061142,NC_085757.1,"Huperzia selago voucher Hup20210022 chloroplast, complete genome",161519.0,Huperzia selago,,,,Hup20210022,LT606116.1,"Huperzia selago chloroplast genomic DNA containing trnL(UAA) intron region, isolate L1100-2-4 - Sequence 4",328,Huperzia selago,Sweden,68.397 N 18.436 E,Jul-2015,,MW817416.1,"Huperzia selago isolate 175 psbA-trnH intergenic spacer region, partial sequence; chloroplast",303,Huperzia selago,Canada: Labrador,,,E.Oberndorfer s.n. (DUKE)
1,Lycopodiella inundata,MW801557.1,"Lycopodiella inundata isolate 205 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",1248,Lycopodiella inundata,Sweden: Bohuslan,,,A.Larsson AL750 (UPS),,,,,,,,,MG560711.1,"Lycopodiella inundata trnL-trnF intergenic spacer region, partial sequence; chloroplast",499,Lycopodiella inundata,,,,,MW817445.1,"Lycopodiella inundata isolate 204 psbA-trnH intergenic spacer region, partial sequence; chloroplast",295,Lycopodiella inundata,Sweden: Bohuslan,,,A.Larsson AL750 (UPS)
2,Lycopodium clavatum,PV007079.1,"Lycopodium clavatum voucher Daniel Tejero-Diez 5868 (MEXU, US) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",606,Lycopodium clavatum,Mexico: Puebla,,,"Daniel Tejero-Diez 5868 (MEXU, US)",PQ393062.1,"Lycopodium clavatum voucher KS23 HER0387 maturase K (matK) gene, partial cds; chloroplast",437.0,Lycopodium clavatum,"Kazakhstan: Kostanay region, Altynsarinsky district",53.11 N 63.55 E,,KS23 HER0387,PZ267855.1,"Lycopodium clavatum isolate LYCL tRNA-Leu (trnL) gene, intron; chloroplast",466,Lycopodium clavatum,"USA: Sitka, AK",,01-Jul-2020,,OQ309346.1,"UNVERIFIED: Lycopodium clavatum voucher Eric Schuettpelz 1652 (MEXU, US) psbA-trnH intergenic spacer, partial sequence; chloroplast",293,Lycopodium clavatum,Mexico: Puebla,,,"Eric Schuettpelz 1652 (MEXU, US)"
